Key	Korea	English
2F_1	- 복은영미용실	- Hair Salon
2F_2	- 청룡 오락실	- Blue Dragon Arcade
2F_3	- 클린 101	- Clean 101 Laundromat
2F_4	- 해리스 바	- Harris Bar
2F_5	- 해장국마을	- Haejang Soup Village
2F_6	- 천다방	- Cheon Dabang
3F_1	- 사이버21	- Cyber 21
3F_2	- jewel&jam	- jewel&jam
3F_3	- 컴퓨터존	- Computer Zone
3F_4	- 카페헤븐	- Cafe Heaven
3F_5	- 지오남성복	- Gio Men's Fashion
3F_6	- 셔넬	- Shernel
4F_1	- 할리모터스	- Harley Motors
4F_2	- 철가방	- Chinese Restaurant
4F_3	- 보라문구	- Bora Stationery
4F_4	- 폰싸다	- Cheap Phones
4F_5	- 헬지전자	- Helji Electronics
4F_6	- 네일헤븐	- Nail Heaven
5F_1	- 유니글로	- UniGlow
5F_2	- 김밥지옥	- Gimbap Hell
5F_3	- ★다방	- ★Dabang
5F_4	- 바이커맥주	- Biker Beer
5F_5	- PizzaHot	- PizzaHot
5F_6	- 자동차공업소	- Auto Repair Shop
Stage_1_1_1	반가워요, 벨보이 아저씨.컴퓨터를 맞추려 하는데 어디로 가면 될까요?	Nice to meet you, bellboy. I'm trying to set up a computer. Where should I go?
Stage_1_1_2	만약에 찾기 힘드시면 지도를 보고 알려주세요	If it's hard to find, please check the map and let me know.
Stage_1_1_3	엘리베이터 버튼 밑에 지도가 있을거에요	There should be a map under the elevator buttons.
Stage_1_1_A	<참을성 길게해서 사실상 말할일 없게>	<참을성 길게해서 사실상 말할일 없게>
Stage_1_1_T	고마워요 아저씨~	Thank you, Mr. Bellboy~
Stage_1_2_1	오 마침 딱 엘리베이터가 왔네	Oh, just in time, the elevator has arrived!
Stage_1_2_2	로비로 가주세요. 지금 친구가 기다리고 있을거에요	Please take me to the lobby. My friend should be waiting there now.
Stage_1_2_3	저기 층수위에 친구가 기다린다고 표시되고 있어요.	Over there, it shows that my friend is waiting on that floor.
Stage_1_2_A	에휴 이러다 친구가 갈뻔 했잖아요.	Phew, I almost let my friend go instead!
Stage_1_2_T	오랜만이야~ 뭐먹으러 갈까? 아 수고했어요 아저씨	Long time no see! What should we eat? Oh, good job, Mr. Bellboy!
Stage_1_3_1	뭘 로비까지 내려왔어, 중식이나 때리러 가자	Why are you down in the lobby? Let's go grab some Chinese food!
Stage_1_3_2	뭘봐요, 빨리 중국집으로 가요	What are you looking at? Hurry, let's go to the Chinese restaurant!
Stage_1_3_3	아, 이 아저씨 답답하네	Oh, you're so frustrating, Mr. Bellboy!
Stage_1_3_A	와 답답해 미치겠다	Ugh, this is so frustrating, I’m going crazy!
Stage_1_3_T	오늘 중국집 다죽었다 ㅋㅋ	Today, the Chinese restaurant is completely doomed, haha!
Stage_1_4_1	내가 다시는 이 미용실 오나봐라	I don't think I'll ever come to this salon again!
Stage_1_4_2	이 건물에 조금이라도 머무르기 싫으니까 빨리 갑시다	I don't want to stay in this building for even a second longer, so let's go quickly!
Stage_1_4_3	로비로 가자고요 로비!	Let's go to the lobby! The lobby!
Stage_1_4_A	아오 오늘 재수 옴붙었네	Ugh, I must be really unlucky today.
Stage_1_4_T	에휴 벨보이는 쓸만한데, 저 미용실은 진짜	Sigh, the bellboy is useful, but that salon is really something else.
Stage_1_5_1	아 배부르게 잘먹었다. 이제 좀 놀러 가볼까?	Ah, I ate so well. Should we go have some fun now?
Stage_1_5_2	PC방은 어제 갔으니까 오늘은 다른곳!	We went to the PC café yesterday, so let's go somewhere else today!
Stage_1_5_3	오락실 가자구요 아저씨	Let's go to the arcade, Mr. Bellboy!
Stage_1_5_A	게임 한판하기 더럽게 힘드네	It's ridiculously hard just to play one game.
Stage_1_5_T	굿굿 고마워용	Good, good! Thank you~!
Stage_1_6_1	그거 아시나요, 여기 건물에 굉장히 유명한 아티스트가 있다네요	Did you know? There's a very famous artist in this building!
Stage_1_6_2	생활의 달인에도 나왔다 하더라구요	I heard they were even featured on Master of Living.
Stage_1_6_3	보석가공의 달인인가? 뭐 그런걸로 나왔다는데	Something like a master of jewelry crafting? That's what they were featured for, I heard.
Stage_1_6_A	더 빨리 올수는 없었나요?	Couldn't you have arrived any faster?
Stage_1_6_T	후후 보석아 기다려라 내가 간다	Hehe, wait for me, precious jewel! I'm on my way!
Stage_1_7_1	아니 아저씨, 왜 여기 유니클로에는 남성복이 없어요?	Hey, mister, why doesn’t this Uniqlo have any men's clothing?
Stage_1_7_2	남성복 사러 나온건데…	I came out to buy men's clothes...
Stage_1_7_3	남성복 점에 대려다 줘요	Please take me to the men's clothing store.
Stage_1_7_A	굉장히 오래걸리네요..	This is taking quite a long time...
Stage_1_7_T	여기에는 제대로된 남성복이 있겠지…	There has to be proper men's clothing here, right...
Stage_1_8_1	세상에서 가장 나쁜 피자는?	The worst pizza in the world?
Stage_1_8_2	병역기피자	Draft Dodger Pizza
Stage_1_8_3	하하 재미있죠? 피자나 먹게 피자집으로 가줘요	Haha, it's funny, right? Let's go to a pizza place and get some pizza!
Stage_1_8_A	느려…	So slow...
Stage_1_8_T	세상에서 가장 힘이 나는 피자는? 어깨 쫙피자ㅋㅋ	Haha, the most energizing pizza in the world? The Shoulder Straight Pizza
Stage_1_9_1	술!!!	Alcohol!!!
Stage_1_9_2	맥주!!!!!!	Beer!!!!!!
Stage_1_9_3	빨리!!!!!!!!!!!!!!	Hurry!!!!!!!!!!!!
Stage_1_9_A	느려!!!!!!!!	So slow!!!!!!!!
Stage_1_9_T	빨라!!!!	Faster!!!!
Stage_1_10_1	Hello, I want to go to a famous Korean brand cafe.	안녕하세요, 한국에서 유명한 브랜드 카페로 가고 싶어요.
Stage_1_10_2	I heard that it's a cafe run by a very famous businessman.	제가 듣기론 이 카페는 매우 유명한 사업가가 운영하는 걸로 알고있어요.
Stage_1_10_3	What was the name... StarTeahouse?	음.. 이름이.. StarTeahouse?
Stage_1_10_A	Holy, How can it be so slow?	오우!! 어떻게 이렇게 느릴수 있죠?
Stage_1_10_T	Thank you for your service	서비스 감사합니다.
Stage_1_11_1	새로운 핸드폰을 맞췄어여	Got a new phone!
Stage_1_11_2	이제 PC방을 갈래요	Now, let's go to the PC café!
Stage_1_11_3	PC방에 데려다줘요	Please take me to the PC café!
Stage_1_11_A	짱 느리네요	So slow...
Stage_1_11_T	짱 빠르네요	Super fast!
Stage_1_12_1	하하 나는 신출귀몰한 괴도	Haha, I am the elusive master thief!
Stage_1_12_2	이 건물에서 가장 비싼 물건을 훔쳐야지	I’m going to steal the most expensive item in this building!
Stage_1_12_3	이 건물 안에서 뭐가 제일 비싸려나	I wonder what the most expensive thing in this building is?
Stage_1_12_A	비싼 물건 찾기가 이렇게 오래 걸린다고?!?	Is it really taking this long to find the expensive item?!?
Stage_1_12_T	역시 뭐니뭐니해도 보석만한게 없지	After all, nothing beats jewelry!
Stage_1_13_1	내 꿈의 오토바이인 할리데이비슨을 구매했어.	I bought my dream motorcycle, a Harley-Davidson!
Stage_1_13_2	이제 밖으로 나가서 나의 폭주를 즐길 시간이야	Now it's time to head out and enjoy my wild ride!
Stage_1_13_3	로비로 보내줘	Please take me to the lobby
Stage_1_13_A	내 폭주가 늦어지고 있어…	My wild ride is getting delayed...
Stage_1_13_T	세상아 내가 간다!!!	World, here I come!!!
Stage_1_14_1	여기 김밥은 진짜 지옥같은 맛이나네.	The gimbap here really tastes like hell.
Stage_1_14_2	이름이 지옥김밥이라서 그런가?	Is it because the name is 'Hell Gimbap'?
Stage_1_14_3	그러면 천국이 이름에 들어간 곳은 좀 더 맛있겠지?	Then, a place with 'Heaven' in its name must taste better, right?
Stage_1_14_A	이 엘리베이터도 지옥이네	This elevator is like hell, too.
Stage_1_14_T	과연 천국의 맛일지 보자고	Let's see if it really tastes like heaven.
Stage_1_15_1	어제 술을 너무 많이 마셨어요…. 속이 안좋아…	I drank way too much yesterday... I feel terrible...
Stage_1_15_2	술을 마시고 나서 다음날에는 어디에 가는게 좋을까요..?	Where is a good place to go the day after drinking?
Stage_1_15_3	해장국집에 가면 좋지 않을까요…?	Wouldn't it be good to go to a hangover soup place?
Stage_1_15_A	너무 울렁거려… 우웩…	I feel so nauseous... Ugh...
Stage_1_15_T	빨리 해장을 해야겠어…	I need to cure this hangover quickly...
Stage_1_16_1	오늘은 뭔가 술이 마시고 싶은 날이네요	Today feels like a day when I want to drink.
Stage_1_16_2	약간 분위기 있는 곳에서 낭만적으로 홀짝이고 싶은 걸요?	I feel like having a drink in a classy, romantic place, sipping slowly.
Stage_1_16_3	이 건물에는 바 같은 곳은 없을까요?	Is there a bar or something like that in this building?
Stage_1_16_A	정말 느리네요.	This is really slow.
Stage_1_16_T	와인을 마셔볼까나~	Maybe I should try some wine~
Stage_1_17_1	전 작가에요. 보통 카페에서 글을 쓰죠.	I'm a writer. I usually write at cafés.
Stage_1_17_2	전망 좋은 카페에 가야 글이 잘써져요.	I write better when I go to a café with a nice view.
Stage_1_17_3	사람들을 내려다보면서 영감을 얻거든요	I get inspired by looking down at people.
Stage_1_17_A	어쩜 이렇게 느릴수가 있을까요? 이것대로 놀랍네요	How can this be so slow? It's truly amazing.
Stage_1_17_T	영감이 떠올랐어요! 당신을 소재로 소설을 써봐도 될까요?	I just got an idea! Can I write a novel based on you as the subject?
Stage_1_18_1	I was very satisfied with the Korean cafe. time passed so quickly that it was already meal time.	한국의 카페에 매우 만족했어요, 시간이 참 빠르네요 벌써 밥먹을 시간이네요.
Stage_1_18_2	I want to try some unique Korean food.	한국의 유니크한 음식을 먹고싶어요.
Stage_1_18_3	I heard that Korean haejangguk is very famous. Let's go there.	제가 듣기로는 한국의 해장국은 매우 유명하다고하네요. 거기로 가죠
Stage_1_18_A	Holy! How can it be so slow?	오우!! 어떻게 이렇게 느릴수 있죠?
Stage_1_18_T	Thank you for your service	서비스 감사합니다.
Stage_1_19_1	빨래방으로 가주세요	Please take me to the laundromat.
Stage_1_19_2	빨래방 어딨는지 모르나요?	Do you not know where the laundromat is?
Stage_1_19_3	제가 알기로는 2층에 있네요	As far as I know. it's on the second floor.
Stage_1_19_A	이렇게 오래 걸릴 일이었나요?	Was this supposed to take this long?
Stage_1_19_T	우리 집 세탁기가 고장나서요. 감사합니다.	My washing machine at home is broken, thank you.
Stage_1_20_1	친구들이 PC방에서 기다린다고 했어요	My friends said they're waiting at the PC café.
Stage_1_20_2	PC방 빨리 가주세요 현기증 난단 말이에요	Please take me to the PC café quickly, I'm feeling dizzy!
Stage_1_20_3	PC바아아아아아아아아아앙	PC Caaaaaaaaaafé!
Stage_1_20_A	어우 느려. 틀딱	Ugh, so slow. Old-timer.
